customer_id,customer_name,customer_segment,region_id
1,Mila Taylor,Consumer,2
2,Ava Hill,Home Office,2
3,Amelia Thomas,Consumer,6
4,Isla Wilson,Home Office,5
5,Sofia Taylor,Consumer,2
6,Evelyn Hill,Consumer,6
7,Nora King,Consumer,5
8,Liam Wright,Home Office,6
9,Aria Johnson,Consumer,6
10,Ava Brown,Corporate,6
11,Mason Thomas,Corporate,2
12,Grace Scott,Consumer,1
13,Ava King,Consumer,2
14,Mason Adams,Corporate,1
15,Mila Adams,Corporate,3
16,Leo Clark,Consumer,1
17,Isla Hall,Corporate,4
18,Jack Roberts,Consumer,2
19,Chloe Parker,Consumer,6
20,Ava Turner,Consumer,2
21,Chloe Davies,Consumer,6
22,Aiden Clark,Consumer,6
23,Ethan Roberts,Corporate,6
24,Olivia Evans,Consumer,6
25,Scarlett White,Consumer,5
26,Emma Brown,Consumer,3
27,Lucas Taylor,Home Office,6
28,James Parker,Consumer,5
29,James Scott,Corporate,3
30,Amelia Phillips,Consumer,2
31,Noah Hill,Consumer,3
32,Ella King,Consumer,2
33,Emma Ward,Consumer,1
34,Lucas Brown,Consumer,6
35,Leo Walker,Consumer,3
36,Layla Green,Home Office,2
37,Henry Cooper,Consumer,6
38,Zoe Harris,Home Office,3
39,Jack Evans,Consumer,6
40,Aiden Brown,Consumer,4
41,Noah Baker,Consumer,6
42,Isla Turner,Consumer,6
43,Mia Brown,Consumer,4
44,Zoe Thomas,Consumer,2
45,Zoe Taylor,Consumer,2
46,Lucas Roberts,Consumer,5
47,Ella Green,Home Office,1
48,Layla Harris,Home Office,6
49,Sophia Harris,Consumer,6
50,James Evans,Corporate,3
51,Evelyn Roberts,Consumer,5
52,Aiden Ward,Consumer,6
53,Evelyn Green,Consumer,2
54,Liam Scott,Consumer,4
55,Mila Davies,Home Office,1
56,Leo Hill,Consumer,2
57,Isla Davies,Home Office,6
58,Ella Lewis,Corporate,6
59,Amelia Ward,Consumer,5
60,Mila Adams,Consumer,1
61,Leo Thomas,Consumer,3
62,Evelyn White,Consumer,5
63,Layla Turner,Consumer,1
64,Scarlett Johnson,Consumer,5
65,Isla Campbell,Consumer,6
66,Noah Phillips,Consumer,4
67,Ethan Lewis,Consumer,6
68,Amelia Brown,Consumer,5
69,Mason Ward,Home Office,2
70,Jack Cooper,Consumer,6
71,Aiden White,Home Office,6
72,Mason Green,Corporate,5
73,Harper Lewis,Corporate,5
74,Nora Ward,Corporate,4
75,Mila Hall,Home Office,1
76,Olivia Roberts,Consumer,6
77,Olivia Thomas,Consumer,6
78,Sofia King,Corporate,3
79,Leo Roberts,Corporate,1
80,Sofia Wright,Consumer,6
81,Aria Cooper,Consumer,1
82,Jack Lewis,Home Office,4
83,James Thomas,Consumer,4
84,Olivia Allen,Consumer,4
85,Harper Brown,Consumer,5
86,Scarlett Johnson,Consumer,5
87,Zoe Taylor,Consumer,6
88,Olivia Green,Home Office,4
89,Sophia Phillips,Home Office,1
90,Evelyn Clark,Consumer,5
91,Henry Brown,Corporate,2
92,Lucas Lewis,Consumer,1
93,Henry Hall,Consumer,3
94,Grace Roberts,Home Office,1
95,Leo Parker,Home Office,6
96,Ava Baker,Consumer,5
97,Sofia Taylor,Consumer,5
98,Evelyn Cooper,Consumer,1
99,Leo Turner,Corporate,4
100,Amelia Turner,Consumer,5
101,Mila White,Home Office,2
102,Emma Walker,Consumer,3
103,Aria Davies,Corporate,1
104,Ella Smith,Consumer,5
105,Sofia Cooper,Corporate,1
106,Sofia Roberts,Consumer,5
107,Grace Turner,Consumer,6
108,Sophia Allen,Home Office,3
109,Hazel Taylor,Consumer,3
110,Zoe Green,Consumer,3
111,Mia Campbell,Consumer,6
112,Mila Allen,Consumer,6
113,Henry Evans,Consumer,2
114,Olivia Harris,Consumer,5
115,Scarlett Davies,Consumer,6
116,Leo Turner,Consumer,6
117,Hazel Allen,Corporate,6
118,Hazel Smith,Corporate,5
119,Henry White,Consumer,5
120,Harper Smith,Consumer,1
121,Emma Ward,Consumer,6
122,James Cooper,Consumer,6
123,Layla Phillips,Consumer,1
124,Mia Thomas,Consumer,5
125,Noah Thomas,Consumer,2
126,Nora Wright,Consumer,1
127,Liam Brown,Corporate,2
128,Sofia Young,Consumer,2
129,Layla Brown,Consumer,1
130,Scarlett King,Consumer,3
131,Scarlett Wilson,Consumer,4
132,Olivia Baker,Home Office,5
133,Harper King,Consumer,5
134,Sophia Roberts,Consumer,4
135,Grace Parker,Home Office,2
136,Henry Clark,Consumer,1
137,Mason Ward,Corporate,4
138,Leo Turner,Consumer,4
139,Sofia Adams,Consumer,2
140,Mason Adams,Consumer,1
141,Mia Lewis,Consumer,1
142,Evelyn Green,Consumer,3
143,James Hall,Corporate,4
144,Nora Allen,Consumer,6
145,Ella Taylor,Consumer,1
146,Isla Thomas,Corporate,4
147,Liam White,Home Office,1
148,Ava Wright,Consumer,1
149,Leo Thomas,Home Office,5
150,Jack Thomas,Corporate,5
151,Ava Brown,Corporate,3
152,Aiden Green,Home Office,1
153,Noah Thomas,Corporate,4
154,Liam Cooper,Consumer,3
155,Noah Parker,Corporate,4
156,Ethan Brown,Consumer,1
157,Grace Thomas,Consumer,2
158,Amelia Baker,Consumer,6
159,Harper Evans,Consumer,6
160,Leo Wilson,Corporate,2
161,Sofia Ward,Consumer,5
162,Nora Wright,Corporate,4
163,Jack Young,Home Office,2
164,Isla Phillips,Consumer,6
165,Harper Phillips,Corporate,2
166,Aria Evans,Consumer,1
167,Emma Taylor,Consumer,2
168,Evelyn Clark,Corporate,6
169,James Clark,Consumer,5
170,Aria Hall,Consumer,3
171,Zoe Hill,Consumer,6
172,Noah Baker,Consumer,6
173,Mila Green,Corporate,3
174,Emma Johnson,Home Office,4
175,Lucas Hill,Consumer,6
176,Ethan Phillips,Consumer,2
177,Zoe Taylor,Consumer,6
178,Isla Evans,Consumer,4
179,Mason King,Consumer,5
180,Ella Wilson,Home Office,5
181,Aria Davies,Consumer,2
182,Amelia Hall,Consumer,6
183,Isla Parker,Consumer,6
184,Hazel Brown,Home Office,2
185,Ella Phillips,Consumer,3
186,Zoe Parker,Consumer,3
187,Leo Taylor,Consumer,1
188,Noah Green,Consumer,6
189,Leo Campbell,Consumer,5
190,Ava Brown,Consumer,5
191,Hazel Turner,Consumer,6
192,Zoe Thomas,Consumer,2
193,Sophia Clark,Consumer,1
194,Harper Young,Corporate,3
195,Mason Parker,Consumer,3
196,Lucas Cooper,Corporate,4
197,Noah Davies,Consumer,1
198,Lucas Smith,Corporate,1
199,Lucas Roberts,Consumer,5
200,Hazel Phillips,Corporate,6
201,Chloe Hall,Home Office,4
202,Mia Clark,Consumer,2
203,Aiden Hill,Consumer,2
204,Chloe King,Home Office,4
205,Evelyn Adams,Consumer,1
206,Harper Wilson,Home Office,3
207,Mason Walker,Consumer,2
208,Mason Johnson,Consumer,1
209,Jack Hill,Home Office,6
210,Leo Johnson,Home Office,1
211,Sofia White,Home Office,4
212,Noah Johnson,Consumer,3
213,Jack Young,Consumer,4
214,Grace Ward,Consumer,1
215,Zoe Allen,Corporate,2
216,Sophia Johnson,Consumer,2
217,Grace Brown,Consumer,6
218,Zoe Davies,Consumer,5
219,Liam Scott,Consumer,6
220,Liam Baker,Corporate,5
221,Zoe Thomas,Corporate,6
222,Lucas Taylor,Consumer,4
223,Nora Wright,Consumer,6
224,Isla Wright,Home Office,1
225,Henry Johnson,Consumer,5
226,Henry Brown,Consumer,2
227,Aria Baker,Consumer,3
228,Jack Wright,Consumer,1
229,Grace White,Consumer,6
230,Hazel Roberts,Consumer,6
231,Mason Baker,Corporate,6
232,Aiden White,Corporate,4
233,Isla Roberts,Consumer,6
234,Lucas Wilson,Consumer,2
235,Evelyn Green,Corporate,6
236,Mia Hall,Consumer,6
237,Ethan Ward,Consumer,6
238,Scarlett Ward,Consumer,4
239,Liam Smith,Consumer,2
240,Ella Scott,Corporate,3
241,Jack Taylor,Consumer,3
242,Liam King,Consumer,2
243,Mason Allen,Consumer,2
244,Amelia Wilson,Consumer,4
245,Hazel Harris,Consumer,4
246,Nora Brown,Home Office,3
247,Nora Thomas,Consumer,4
248,James Walker,Consumer,1
249,Sophia Hall,Consumer,3
250,Layla King,Consumer,4
251,Aiden Walker,Corporate,4
252,Henry Phillips,Corporate,6
253,Mila Allen,Consumer,6
254,Ava Baker,Consumer,2
255,Layla King,Home Office,5
256,Mia Ward,Home Office,2
257,Evelyn Taylor,Home Office,1
258,Nora Wilson,Consumer,3
259,Amelia Taylor,Consumer,4
260,Nora Taylor,Consumer,2
261,Sofia King,Consumer,6
262,Olivia Roberts,Consumer,2
263,Mia Scott,Consumer,5
264,Mason Adams,Consumer,3
265,Ethan Evans,Corporate,2
266,Evelyn Green,Consumer,2
267,Zoe Roberts,Consumer,5
268,Grace Young,Consumer,4
269,Amelia Cooper,Consumer,6
270,Hazel Parker,Consumer,6
271,Noah Brown,Consumer,1
272,Mila Clark,Consumer,6
273,Layla Roberts,Home Office,6
274,Noah Smith,Consumer,2
275,Ethan Turner,Consumer,4
276,Olivia Green,Home Office,6
277,Amelia Davies,Consumer,3
278,Sofia Hall,Consumer,6
279,Leo Adams,Consumer,6
280,Aria King,Consumer,5
281,Ava Taylor,Consumer,4
282,Liam Cooper,Consumer,4
283,Aiden Cooper,Home Office,5
284,Olivia King,Consumer,2
285,Noah Campbell,Consumer,1
286,James Wright,Consumer,4
287,Leo Wilson,Consumer,2
288,Aria Wilson,Consumer,4
289,Noah Walker,Consumer,6
290,James Cooper,Consumer,5
291,Hazel Phillips,Corporate,3
292,Zoe Johnson,Home Office,5
293,Nora Harris,Consumer,1
294,Mason Baker,Consumer,5
295,Isla Baker,Consumer,2
